gameid,datacompleteness,league,year,playoffs,date,game,patch,participantid,side,position,teamname,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,team kpm,ckpm,damagetochampions,dpm,damagetakenperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,goldspent,monsterkills
10660-10660_game_1,partial,DCup,2023,0,01/01/2024 05:13,1,13.24,1,Blue,top,LNG Esports,1886,0,1,3,1,3,16,0.0954,0.6045,7092,225.6204,564.1463,14,0.4454,4,0.1273,5,24,0.7635,11083,6960,221.421,10784,23
10660-10660_game_1,partial,DCup,2023,0,01/01/2024 05:13,1,13.24,2,Blue,jng,LNG Esports,1886,0,0,4,3,3,16,0.0954,0.6045,7361,234.1782,847.4761,10,0.3181,12,0.3818,10,39,1.2407,8636,4513,143.5737,8840,139
10660-10660_game_1,partial,DCup,2023,0,01/01/2024 05:13,1,13.24,3,Blue,mid,LNG Esports,1886,0,0,2,0,3,16,0.0954,0.6045,10005,318.2927,432.2163,4,0.1273,8,0.2545,2,31,0.9862,10743,6620,210.6045,10594,1
10660-10660_game_1,partial,DCup,2023,0,01/01/2024 05:13,1,13.24,4,Blue,bot,LNG Esports,1886,0,2,4,0,3,16,0.0954,0.6045,10892,346.5111,491.4528,22,0.6999,13,0.4136,4,44,1.3998,12224,8101,257.72,11119,4
10660-10660_game_1,partial,DCup,2023,0,01/01/2024 05:13,1,13.24,5,Blue,sup,LNG Esports,1886,0,0,3,3,3,16,0.0954,0.6045,6451,205.228,239.7137,47,1.4952,22,0.6999,12,111,3.5313,7221,3098,98.5578,6175,0
10660-10660_game_1,partial,DCup,2023,0,01/01/2024 05:13,1,13.24,6,Red,top,Rare Atom,1886,1,4,0,6,16,3,0.509,0.6045,14049,446.9459,228.8971,11,0.3499,3,0.0954,5,26,0.8271,13378,9255,294.4327,11179,38
10660-10660_game_1,partial,DCup,2023,0,01/01/2024 05:13,1,13.24,7,Red,jng,Rare Atom,1886,1,1,0,12,16,3,0.509,0.6045,3945,125.5037,591.0286,14,0.4454,8,0.2545,11,49,1.5589,10590,6467,205.737,9455,157
10660-10660_game_1,partial,DCup,2023,0,01/01/2024 05:13,1,13.24,8,Red,mid,Rare Atom,1886,1,4,0,7,16,3,0.509,0.6045,14917,474.5599,444.1145,10,0.3181,14,0.4454,8,44,1.3998,14603,10480,333.404,12643,10
10660-10660_game_1,partial,DCup,2023,0,01/01/2024 05:13,1,13.24,9,Red,bot,Rare Atom,1886,1,7,1,5,16,3,0.509,0.6045,19516,620.8696,268.5684,11,0.3499,14,0.4454,7,41,1.3043,15021,10898,346.702,13820,9
10660-10660_game_1,partial,DCup,2023,0,01/01/2024 05:13,1,13.24,10,Red,sup,Rare Atom,1886,1,0,2,13,16,3,0.509,0.6045,4516,143.6691,384.4327,76,2.4178,10,0.3181,25,117,3.7222,8145,4022,127.9533,7110,0
10660-10660_game_1,partial,DCup,2023,0,01/01/2024 05:13,1,13.24,100,Blue,team,LNG Esports,1886,0,3,16,7,3,16,0.0954,0.6045,41801,1329.8303,2574.9735,97,3.0859,59,1.877,33,250,7.9533,49907,29292,931.877,47512,167
10660-10660_game_1,partial,DCup,2023,0,01/01/2024 05:13,1,13.24,200,Red,team,Rare Atom,1886,1,16,3,43,16,3,0.509,0.6045,56942,1811.5164,1917.0414,122,3.8812,49,1.5589,56,277,8.8123,61737,41122,1308.2291,54207,213
10660-10660_game_2,partial,DCup,2023,0,01/01/2024 06:03,2,13.24,1,Blue,top,LNG Esports,1911,0,2,3,0,3,17,0.0942,0.6279,18034,566.2166,470.8634,10,0.314,0,0.0,6,24,0.7535,11757,7583,238.0848,11560,13
10660-10660_game_2,partial,DCup,2023,0,01/01/2024 06:03,2,13.24,2,Blue,jng,LNG Esports,1911,0,0,5,2,3,17,0.0942,0.6279,3100,97.3312,700.8477,11,0.3454,13,0.4082,12,49,1.5385,9526,5352,168.0377,9310,149
10660-10660_game_2,partial,DCup,2023,0,01/01/2024 06:03,2,13.24,3,Blue,mid,LNG Esports,1911,0,1,4,2,3,17,0.0942,0.6279,11376,357.1743,529.4819,7,0.2198,9,0.2826,3,31,0.9733,9855,5681,178.3673,9210,4
10660-10660_game_2,partial,DCup,2023,0,01/01/2024 06:03,2,13.24,4,Blue,bot,LNG Esports,1911,0,0,2,2,3,17,0.0942,0.6279,16509,518.3359,348.1319,37,1.1617,23,0.7221,6,99,3.1083,8470,4296,134.8823,7350,0
